,age,daily_screen_time,social_media_hours,doomscrolling_duration,app_switch_frequency,notification_count,smartphone_unlocks,late_night_device_usage,focus_sessions,deep_work_hours,distraction_frequency,task_completion_rate,concentration_score,meeting_hours,sleep_hours,sleep_quality,caffeine_intake,physical_activity,stress_level,workspace_quality,internet_stability,remote_work_days,motivation_level,mental_fatigue,emotional_exhaustion,work_satisfaction,burnout_risk,productivity_score
distraction_frequency,0.0002,-0.0001,-0.0001,-0.0001,-0.0001,0.0006,-0.0002,-0.0001,0.0005,-0.0002,1.0,-0.0004,-0.0007,-0.0002,0.0004,0.0003,-0.0004,0.0002,-0.0002,0.0006,-0.0003,0.0001,0.0006,0.0,-0.0,-0.0008,0.1522,-0.0541
task_completion_rate,-0.0005,-0.0004,-0.0006,-0.0004,0.0005,0.0007,0.0008,-0.0,0.0003,0.0005,-0.0004,1.0,0.0,0.0003,0.0003,-0.0003,0.0003,0.0,0.0008,-0.0001,0.0003,-0.0006,0.0006,0.001,0.0003,0.0006,0.0001,0.3558
concentration_score,-0.0007,-0.0008,0.0001,0.0002,0.0005,0.0008,-0.0008,-0.0001,-0.0009,-0.0004,-0.0007,0.0,1.0,-0.0002,0.0003,0.0002,0.0005,0.0007,0.0005,-0.0002,0.0008,0.0,0.0004,0.0005,-0.0,0.0011,-0.0,0.3473
meeting_hours,0.0005,-0.0005,0.0003,-0.0001,-0.0007,-0.0004,-0.0002,-0.0,-0.0011,-0.0002,-0.0002,0.0003,-0.0002,1.0,0.0003,-0.0001,0.0,-0.0003,0.0005,0.0002,-0.0002,0.0005,0.0,-0.0009,0.0,0.0004,-0.0001,-0.0005
sleep_hours,0.0004,-0.0004,-0.0004,-0.0007,0.0001,-0.0,-0.0003,-0.0004,-0.0001,0.0,0.0004,0.0003,0.0003,0.0003,1.0,0.0001,0.0002,0.0005,0.0,-0.0001,0.0001,-0.0,0.0001,0.0,-0.0005,-0.0006,-0.1294,0.0462
sleep_quality,-0.0,-0.0007,0.0002,0.0004,-0.0009,0.0004,0.0,0.0003,-0.0002,0.0001,0.0003,-0.0003,0.0002,-0.0001,0.0001,1.0,-0.0002,0.0005,0.0,0.0001,0.0004,-0.0001,-0.0002,-0.0002,0.0004,-0.0001,-0.0,0.0
caffeine_intake,-0.0003,-0.0,-0.0009,-0.0006,0.0007,-0.0001,-0.0005,-0.0003,-0.0001,0.0004,-0.0004,0.0003,0.0005,0.0,0.0002,-0.0002,1.0,0.0005,-0.0,0.0002,-0.0005,0.0012,0.0,0.0007,-0.0005,-0.0001,-0.0007,0.0008
physical_activity,-0.0005,0.0002,-0.0009,0.0002,0.0009,-0.0001,-0.0012,-0.0002,0.0,0.0004,0.0002,0.0,0.0007,-0.0003,0.0005,0.0005,0.0005,1.0,-0.0004,-0.0001,0.0001,-0.0005,0.0004,-0.0002,-0.0005,-0.0,-0.1107,0.04
stress_level,0.0004,-0.0002,0.0003,0.0006,-0.0002,-0.0,-0.0002,-0.0004,0.0005,0.0004,-0.0002,0.0008,0.0005,0.0005,0.0,0.0,-0.0,-0.0004,1.0,0.0002,-0.0009,-0.0,0.0001,-0.0006,0.0005,0.0001,0.3828,-0.135
workspace_quality,-0.0003,0.0004,0.0004,-0.0005,0.0004,-0.0005,0.0001,0.0008,-0.0008,-0.0,0.0006,-0.0001,-0.0002,0.0002,-0.0001,0.0001,0.0002,-0.0001,0.0002,1.0,0.0003,0.0004,-0.0,-0.001,-0.0001,-0.0007,0.0001,0.1723
internet_stability,-0.0002,-0.0005,0.0002,-0.0001,-0.0008,-0.0002,0.0,0.0,-0.0006,0.0,-0.0003,0.0003,0.0008,-0.0002,0.0001,0.0004,-0.0005,0.0001,-0.0009,0.0003,1.0,-0.0004,-0.0002,0.0004,-0.0003,0.0003,-0.0008,0.0006
remote_work_days,0.0005,-0.0008,-0.0009,-0.0007,0.0002,-0.0,-0.0003,-0.0005,0.0002,-0.0003,0.0001,-0.0006,0.0,0.0005,-0.0,-0.0001,0.0012,-0.0005,-0.0,0.0004,-0.0004,1.0,0.0003,-0.0002,-0.0,-0.0005,-0.0008,0.0002
motivation_level,-0.0012,0.0009,-0.0,-0.0006,-0.0002,-0.0003,0.0008,0.0001,0.0002,0.0001,0.0006,0.0006,0.0004,0.0,0.0001,-0.0002,0.0,0.0004,0.0001,-0.0,-0.0002,0.0003,1.0,-0.0004,-0.0003,-0.0002,0.0003,0.229
mental_fatigue,0.0006,-0.0002,0.0009,0.0005,0.0003,0.0004,0.0004,0.0001,0.0009,-0.0,0.0,0.001,0.0005,-0.0009,0.0,-0.0002,0.0007,-0.0002,-0.0006,-0.001,0.0004,-0.0002,-0.0004,1.0,0.0002,-0.0001,-0.0001,0.0006
emotional_exhaustion,0.0009,0.0006,-0.0001,0.0,-0.0008,0.0005,-0.0003,-0.0002,-0.0,-0.0005,-0.0,0.0003,-0.0,0.0,-0.0005,0.0004,-0.0005,-0.0005,0.0005,-0.0001,-0.0003,-0.0,-0.0003,0.0002,1.0,-0.0001,0.512,-0.1819
work_satisfaction,-0.0004,0.0002,-0.0005,0.0003,-0.0,0.0003,0.0003,0.0003,-0.0006,-0.0001,-0.0008,0.0006,0.0011,0.0004,-0.0006,-0.0001,-0.0001,-0.0,0.0001,-0.0007,0.0003,-0.0005,-0.0002,-0.0001,-0.0001,1.0,-0.2544,0.0905
burnout_risk,0.0006,0.2208,-0.0002,0.2003,-0.0008,0.0967,-0.0002,0.158,0.0011,-0.0464,0.1522,0.0001,-0.0,-0.0001,-0.1294,-0.0,-0.0007,-0.1107,0.3828,0.0001,-0.0008,-0.0008,0.0003,-0.0001,0.512,-0.2544,1.0,-0.378
productivity_score,-0.0013,-0.0778,-0.14,-0.0715,-0.0822,-0.0339,0.0001,-0.0558,0.2301,0.5546,-0.0541,0.3558,0.3473,-0.0005,0.0462,0.0,0.0008,0.04,-0.135,0.1723,0.0006,0.0002,0.229,0.0006,-0.1819,0.0905,-0.378,1.0
