group,driver,burnout_risk,productivity_score
N4,notification_count,0.0796,-0.0181
N4,smartphone_unlocks,-0.0281,0.0225
N4,late_night_device_usage,0.1464,-0.0479
N4,focus_sessions,0.0112,0.0493
N4,deep_work_hours,-0.0733,0.5123
N4,distraction_frequency,0.1633,0.167
N4,task_completion_rate,0.0105,0.2115
N4,concentration_score,0.0115,0.1986
N4,meeting_hours,0.001,-0.0013
N4,sleep_hours,-0.1379,0.0558
N4,sleep_quality,0.0018,0.0005
N4,caffeine_intake,-0.002,0.0004
N4,physical_activity,-0.1181,0.0472
N4,stress_level,0.41,-0.1622
N4,workspace_quality,-0.0017,0.2076
N4,internet_stability,0.0003,0.0006
N4,remote_work_days,-0.0004,0.0002
N4,motivation_level,0.1317,0.2317
N4,mental_fatigue,-0.1339,0.0495
N4,emotional_exhaustion,0.438,-0.1763
N4,work_satisfaction,-0.1532,0.0673
N5,daily_screen_time,0.1872,-0.0527
N5,social_media_hours,-0.0587,-0.1313
N5,doomscrolling_duration,0.1523,-0.0411
N5,app_switch_frequency,-0.0588,-0.0587
N5,notification_count,0.0426,0.0088
N5,smartphone_unlocks,-0.0611,0.0547
N5,late_night_device_usage,0.1267,-0.0273
N5,focus_sessions,0.0339,0.0164
N5,deep_work_hours,-0.0158,0.4802
N5,distraction_frequency,0.1507,0.2474
N5,task_completion_rate,0.0328,0.2001
N5,concentration_score,0.0349,0.1853
N5,meeting_hours,-0.0002,-0.0002
N5,sleep_hours,-0.1394,0.061
N5,sleep_quality,-0.0014,-0.0008
N5,caffeine_intake,-0.0001,0.0005
N5,physical_activity,-0.1175,0.0516
N5,stress_level,0.4104,-0.1767
N5,workspace_quality,-0.0003,0.2266
N5,internet_stability,-0.0005,-0.0001
N5,remote_work_days,-0.0004,0.0003
N5,motivation_level,0.1991,0.1956
N5,mental_fatigue,-0.2003,0.1587
N5,emotional_exhaustion,0.4602,-0.1258
N5,work_satisfaction,-0.1271,-0.0181
N6,daily_screen_time,0.2126,-0.0689
N6,social_media_hours,-0.0303,-0.1438
N6,doomscrolling_duration,0.1874,-0.0579
N6,app_switch_frequency,-0.0324,-0.0735
N6,notification_count,0.0755,-0.0113
N6,smartphone_unlocks,-0.0297,0.0304
N6,late_night_device_usage,0.148,-0.0457
N6,focus_sessions,0.0503,-0.0017
N6,deep_work_hours,-0.0277,0.4567
N6,distraction_frequency,0.1173,0.2157
N6,task_completion_rate,0.052,0.1587
N6,concentration_score,0.0496,0.1515
N6,meeting_hours,-0.0004,0.0004
N6,sleep_hours,-0.1375,0.0559
N6,sleep_quality,-0.0017,0.0005
N6,caffeine_intake,-0.0002,0.0006
N6,physical_activity,-0.118,0.0473
N6,stress_level,0.4105,-0.1654
N6,workspace_quality,0.0003,0.2081
N6,internet_stability,-0.0008,0.001
N6,remote_work_days,-0.0022,0.0009
N6,motivation_level,0.1418,0.1427
N6,mental_fatigue,-0.144,0.1518
N6,emotional_exhaustion,0.4401,-0.0798
N6,work_satisfaction,-0.1448,-0.0389
All,daily_screen_time,0.2208,-0.0778
All,social_media_hours,-0.0002,-0.14
All,doomscrolling_duration,0.2003,-0.0715
All,app_switch_frequency,-0.0008,-0.0822
All,notification_count,0.0967,-0.0339
All,smartphone_unlocks,-0.0002,0.0001
All,late_night_device_usage,0.158,-0.0558
All,focus_sessions,0.0011,0.2301
All,deep_work_hours,-0.0464,0.5546
All,distraction_frequency,0.1522,-0.0541
All,task_completion_rate,0.0001,0.3558
All,concentration_score,-0.0,0.3473
All,meeting_hours,-0.0001,-0.0005
All,sleep_hours,-0.1294,0.0462
All,sleep_quality,-0.0,0.0
All,caffeine_intake,-0.0007,0.0008
All,physical_activity,-0.1107,0.04
All,stress_level,0.3828,-0.135
All,workspace_quality,0.0001,0.1723
All,internet_stability,-0.0008,0.0006
All,remote_work_days,-0.0008,0.0002
All,motivation_level,0.0003,0.229
All,mental_fatigue,-0.0001,0.0006
All,emotional_exhaustion,0.512,-0.1819
All,work_satisfaction,-0.2544,0.0905
